Altium Designer Pick and Place Locations
C:\Users\MarkoSagadin\Desktop\Irnas\ESP-MONITOR\Project Outputs for ESP-MONITOR\Pick Place\Pick Place for ESP-MONITOR_PCB.csv

========================================================================================================================
File Design Information:

Date:       12/03/19
Time:       14:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"R18","RES0603","129.3584","47.8072","129.3584","47.8072","130.1084","47.8072","TopLayer","180","B"
"R12","RES0603","96.1390","61.8490","96.1390","61.8490","95.3890","61.8490","TopLayer","360","10k"
"R16","RES0603","129.3584","46.2565","129.3584","46.2565","130.1084","46.2565","TopLayer","180","A/C"
"R11","RES0603","123.0630","47.4726","123.0630","47.4726","123.8130","47.4726","TopLayer","180","10k"
"R32","RES0603","114.9404","43.6942","114.9404","43.6942","115.6904","43.6942","TopLayer","180","100k"
"J4","Jumper_1x3_2.54MM","108.8390","37.9730","106.2990","37.9730","106.2990","37.9730","TopLayer","90","Jumper_1x3"
"C10","CAP0603","100.7094","35.2616","100.7094","35.2616","101.4594","35.2616","TopLayer","180","100nF"
"C9","CAP0603","100.7094","36.6586","100.7094","36.6586","101.4594","36.6586","TopLayer","180","1uF"
"VT1","SMT_TRIODE_NPN","138.5735","60.6126","138.5735","60.6126","137.4485","61.5626","TopLayer","270","L8050QLT1G"
"VT2","SMT_TRIODE_NPN","130.9535","60.6126","130.9535","60.6126","132.0785","59.6626","TopLayer","90","L8050QLT1G"
"U3","SOT-223_-_4con","135.1394","40.0796","135.1394","40.0796","132.2894","42.3796","TopLayer","180","NCP1117"
"R4","RES0603","106.7444","32.9870","106.7444","32.9870","106.7444","33.7370","TopLayer","270","470R"
"R1","RES0603","103.5730","32.9870","103.5730","32.9870","103.5730","33.7370","TopLayer","270","470R"
"R3","RES0603","135.8902","50.6730","135.8902","50.6730","135.1402","50.6730","TopLayer","360","4k7"
"R2","RES0603","135.8902","49.1021","135.8902","49.1021","135.1402","49.1021","TopLayer","360","4k7"
"R13","RES0603","134.6200","67.3100","134.6200","67.3100","134.6200","66.5600","TopLayer","90","10k"
"R17","RES0603","129.3584","50.8000","129.3584","50.8000","130.1084","50.8000","TopLayer","180","B"
"R14","RES0603","114.9404","40.6654","114.9404","40.6654","114.1904","40.6654","TopLayer","360","10k"
"R10","RES0603","134.8492","61.3650","134.8492","61.3650","135.5992","61.3650","TopLayer","180","10k"
"R8","RES0603","109.9159","32.9870","109.9159","32.9870","109.9159","32.2370","TopLayer","90","470R"
"R9","RES0603","127.8890","60.6126","127.8890","60.6126","127.8890","61.3626","TopLayer","270","10k"
"R6","RES0603","125.7300","56.7690","125.7300","56.7690","125.7300","56.0190","TopLayer","90","0R"
"R29","RES0603","135.8902","53.7022","135.8902","53.7022","136.6402","53.7022","TopLayer","180","27R"
"C3","CAP0603","136.1440","67.3100","136.1440","67.3100","136.1440","68.0600","TopLayer","270","100nF"
"C2","CAP0603","100.6227","43.7685","100.6227","43.7685","99.8727","43.7685","TopLayer","360","100nF"
"C1","CAP0603","100.6227","42.4015","100.6227","42.4015","99.8727","42.4015","TopLayer","360","1uF"
"C8","CAP0603","140.0356","47.3000","140.0356","47.3000","140.7856","47.3000","TopLayer","180","100nF"
"C7","CAP0805","140.0610","49.0320","140.0610","49.0320","141.0110","49.0320","TopLayer","180","10uF /16V"
"C4","CAP0805","129.7631","38.3846","129.7631","38.3846","129.7631","37.4346","TopLayer","90","10uF /16V"
"U4","QFN50P500X500X80_HS-29N","141.0102","53.2152","141.0102","53.2152","138.6102","54.7152","TopLayer","360","CP2102N"
"RX","LED0603","111.5016","32.8600","111.5016","32.8600","111.5016","33.6600","TopLayer","270","LED RED"
